Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B10,FALSE,22-40,C,UNKNOWN,VIC,NFQ-MGB,33.687,33.321,0.517,,,,,,,,FALSE,0.020,TRUE,3,32,Amp,,0.884,N,N,Y,N,N,0.000,,,
22,B10,FALSE,22-40,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,76.812,,,
23,B11,FALSE,22-40,Mcav,UNKNOWN,SYBR,None,23.575,23.560,0.021,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.857,N,N,N,N,N,75.058,,,
24,B12,FALSE,22-40,C,UNKNOWN,VIC,NFQ-MGB,32.955,33.321,0.517,,,,,,,,FALSE,0.020,TRUE,3,30,Amp,,0.885,N,N,Y,N,N,0.000,,,
24,B12,FALSE,22-40,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,74.181,,,
25,C1,FALSE,21-05,Mcav,UNKNOWN,SYBR,None,23.188,23.311,0.175,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.769,Y,N,N,N,N,75.058,,,
26,C2,FALSE,21-05,C,UNKNOWN,VIC,NFQ-MGB,26.421,26.594,0.245,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.935,N,N,N,N,N,0.000,,,
26,C2,FALSE,21-05,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,74.912,,,
27,C3,FALSE,21-05,Mcav,UNKNOWN,SYBR,None,23.435,23.311,0.175,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.794,Y,N,N,N,N,75.204,,,
28,C4,FALSE,21-05,C,UNKNOWN,VIC,NFQ-MGB,26.768,26.594,0.245,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.934,N,N,N,N,N,0.000,,,
28,C4,FALSE,21-05,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,75.789,,,
29,C5,FALSE,29-18,Mcav,UNKNOWN,SYBR,None,22.618,22.979,0.510,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.753,Y,N,Y,N,N,75.058,,,
30,C6,FALSE,29-18,C,UNKNOWN,VIC,NFQ-MGB,27.003,26.761,0.342,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.937,N,N,N,N,N,0.000,,,
30,C6,FALSE,29-18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,88.067,,,
31,C7,FALSE,29-18,Mcav,UNKNOWN,SYBR,None,23.339,22.979,0.510,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.917,N,N,Y,N,N,75.204,,,
32,C8,FALSE,29-18,C,UNKNOWN,VIC,NFQ-MGB,26.519,26.761,0.342,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.931,N,N,N,N,N,0.000,,,
32,C8,FALSE,29-18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,84.413,,,
33,C9,FALSE,26-04,Mcav,UNKNOWN,SYBR,None,25.509,25.461,0.068,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.889,N,N,N,N,N,75.204,,,
34,C10,FALSE,26-04,C,UNKNOWN,VIC,NFQ-MGB,31.004,31.247,0.344,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.916,N,N,N,N,N,0.000,,,
34,C10,FALSE,26-04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,74.327,,,
35,C11,FALSE,26-04,Mcav,UNKNOWN,SYBR,None,25.413,25.461,0.068,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.866,N,N,N,N,N,74.912,,,
36,C12,FALSE,26-04,C,UNKNOWN,VIC,NFQ-MGB,31.490,31.247,0.344,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.911,N,N,N,N,N,0.000,,,
36,C12,FALSE,26-04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,74.473,,,
37,D1,FALSE,22-07,Mcav,UNKNOWN,SYBR,None,22.923,22.755,0.237,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.892,N,N,N,N,N,74.912,,,
38,D2,FALSE,22-07,C,UNKNOWN,VIC,NFQ-MGB,27.975,28.410,0.615,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.913,N,N,Y,N,N,0.000,,,
38,D2,FALSE,22-07,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,76.519,,,
39,D3,FALSE,22-07,Mcav,UNKNOWN,SYBR,None,22.587,22.755,0.237,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.772,Y,N,N,N,N,75.204,,,
40,D4,FALSE,22-07,C,UNKNOWN,VIC,NFQ-MGB,28.845,28.410,0.615,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.929,N,N,Y,N,N,0.000,,,
40,D4,FALSE,22-07,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,76.519,,,
41,D5,FALSE,23-27,Mcav,UNKNOWN,SYBR,None,26.567,26.574,0.011,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.950,N,N,N,N,N,74.912,,,
42,D6,FALSE,23-27,C,UNKNOWN,VIC,NFQ-MGB,33.241,32.896,0.488,,,,,,,,FALSE,0.020,TRUE,3,31,Amp,,0.885,N,N,N,N,N,0.000,,,
42,D6,FALSE,23-27,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,75.204,,,
43,D7,FALSE,23-27,Mcav,UNKNOWN,SYBR,None,26.582,26.574,0.011,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.959,N,N,N,N,N,75.058,,,
44,D8,FALSE,23-27,C,UNKNOWN,VIC,NFQ-MGB,32.551,32.896,0.488,,,,,,,,FALSE,0.020,TRUE,3,30,Amp,,0.911,N,N,N,N,N,0.000,,,
44,D8,FALSE,23-27,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,74.765,,,
45,D9,FALSE,28-27,Mcav,UNKNOWN,SYBR,None,23.799,23.958,0.226,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.784,Y,N,N,N,N,75.058,,,
46,D10,FALSE,28-27,C,UNKNOWN,VIC,NFQ-MGB,28.322,28.483,0.227,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.933,N,N,N,N,N,0.000,,,
46,D10,FALSE,28-27,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,74.327,,,
47,D11,FALSE,28-27,Mcav,UNKNOWN,SYBR,None,24.118,23.958,0.226,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.855,N,N,N,N,N,74.912,,,
48,D12,FALSE,28-27,C,UNKNOWN,VIC,NFQ-MGB,28.644,28.483,0.227,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.931,N,N,N,N,N,0.000,,,
48,D12,FALSE,28-27,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,21,No Amp,,0.000,Y,N,N,N,Y,74.912,,,
49,E1,FALSE,17-66,Mcav,UNKNOWN,SYBR,None,25.652,25.660,0.010,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.817,N,N,N,N,N,74.765,,,
50,E2,FALSE,17-66,C,UNKNOWN,VIC,NFQ-MGB,35.746,36.027,0.398,,,,,,,,FALSE,0.020,TRUE,3,33,Inconclusive,,0.815,N,N,N,N,N,0.000,,,
50,E2,FALSE,17-66,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,74.912,,,
51,E3,FALSE,17-66,Mcav,UNKNOWN,SYBR,None,25.667,25.660,0.010,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.892,N,N,N,N,N,75.058,,,
52,E4,FALSE,17-66,C,UNKNOWN,VIC,NFQ-MGB,36.308,36.027,0.398,,,,,,,,FALSE,0.020,TRUE,3,34,Inconclusive,,0.800,Y,N,N,N,N,0.000,,,
52,E4,FALSE,17-66,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,91.429,,,
53,E5,FALSE,29-04,Mcav,UNKNOWN,SYBR,None,24.810,24.636,0.247,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.878,N,N,N,N,N,74.912,,,
54,E6,FALSE,29-04,C,UNKNOWN,VIC,NFQ-MGB,28.761,28.798,0.052,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.934,N,N,N,N,N,0.000,,,
54,E6,FALSE,29-04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,89.529,,,
55,E7,FALSE,29-04,Mcav,UNKNOWN,SYBR,None,24.461,24.636,0.247,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.852,N,N,N,N,N,75.204,,,
56,E8,FALSE,29-04,C,UNKNOWN,VIC,NFQ-MGB,28.834,28.798,0.052,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.935,N,N,N,N,N,0.000,,,
56,E8,FALSE,29-04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,90.991,,,
57,E9,FALSE,20-20,Mcav,UNKNOWN,SYBR,None,23.667,23.878,0.299,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.799,Y,N,N,N,N,75.058,,,
58,E10,FALSE,20-20,C,UNKNOWN,VIC,NFQ-MGB,33.418,32.920,0.704,,,,,,,,FALSE,0.020,TRUE,3,31,Amp,,0.888,N,N,Y,N,N,0.000,,,
58,E10,FALSE,20-20,D,UNKNOWN,FAM,NFQ-MGB,28.128,27.863,0.375,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.821,N,N,N,N,N,78.712,,,
59,E11,FALSE,20-20,Mcav,UNKNOWN,SYBR,None,24.090,23.878,0.299,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.913,N,N,N,N,N,74.912,,,
60,E12,FALSE,20-20,C,UNKNOWN,VIC,NFQ-MGB,32.422,32.920,0.704,,,,,,,,FALSE,0.020,TRUE,3,30,Amp,,0.901,N,N,Y,N,N,0.000,,,
60,E12,FALSE,20-20,D,UNKNOWN,FAM,NFQ-MGB,27.598,27.863,0.375,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.770,Y,N,N,N,N,79.881,,,
61,F1,FALSE,17-25,Mcav,UNKNOWN,SYBR,None,23.558,23.840,0.398,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.705,Y,N,N,N,N,74.912,,,
62,F2,FALSE,17-25,C,UNKNOWN,VIC,NFQ-MGB,28.224,28.286,0.088,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.934,N,N,N,N,N,0.000,,,
62,F2,FALSE,17-25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,75.496,,,
63,F3,FALSE,17-25,Mcav,UNKNOWN,SYBR,None,24.122,23.840,0.398,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.847,N,N,N,N,N,75.058,,,
64,F4,FALSE,17-25,C,UNKNOWN,VIC,NFQ-MGB,28.348,28.286,0.088,,,,,,,,FALSE,0.020,TRUE,3,26,Amp,,0.931,N,N,N,N,N,0.000,,,
64,F4,FALSE,17-25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,89.383,,,
65,F5,FALSE,21-19,Mcav,UNKNOWN,SYBR,None,22.786,23.003,0.306,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.730,Y,N,N,N,N,75.058,,,
66,F6,FALSE,21-19,C,UNKNOWN,VIC,NFQ-MGB,29.537,29.444,0.131,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.919,N,N,N,N,N,0.000,,,
66,F6,FALSE,21-19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,94.938,,,
67,F7,FALSE,21-19,Mcav,UNKNOWN,SYBR,None,23.219,23.003,0.306,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.785,Y,N,N,N,N,75.058,,,
68,F8,FALSE,21-19,C,UNKNOWN,VIC,NFQ-MGB,29.352,29.444,0.131,,,,,,,,FALSE,0.020,TRUE,3,27,Amp,,0.929,N,N,N,N,N,0.000,,,
68,F8,FALSE,21-19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,76.081,,,
69,F9,FALSE,20-27,Mcav,UNKNOWN,SYBR,None,23.725,23.682,0.060,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.772,Y,N,N,N,N,75.058,,,
70,F10,FALSE,20-27,C,UNKNOWN,VIC,NFQ-MGB,27.169,27.221,0.074,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.931,N,N,N,N,N,0.000,,,
70,F10,FALSE,20-27,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,26.303,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,81.928,,,
71,F11,FALSE,20-27,Mcav,UNKNOWN,SYBR,None,23.639,23.682,0.060,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.798,Y,N,N,N,N,75.058,,,
72,F12,FALSE,20-27,C,UNKNOWN,VIC,NFQ-MGB,27.273,27.221,0.074,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.924,N,N,N,Y,N,0.000,,,
72,F12,FALSE,20-27,D,UNKNOWN,FAM,NFQ-MGB,26.303,26.303,,,,,,,,,FALSE,0.020,TRUE,3,6,No Amp,,0.173,Y,N,N,Y,Y,75.350,,,
73,G1,FALSE,28-19,Mcav,UNKNOWN,SYBR,None,22.998,23.161,0.230,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.670,Y,N,N,N,N,74.765,,,
74,G2,FALSE,28-19,C,UNKNOWN,VIC,NFQ-MGB,27.171,27.210,0.055,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.930,N,N,N,N,N,0.000,,,
74,G2,FALSE,28-19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,74.619,,,
75,G3,FALSE,28-19,Mcav,UNKNOWN,SYBR,None,23.324,23.161,0.230,,,,,,,,FALSE,0.020,TRUE,3,21,Amp,,0.812,N,N,N,N,N,74.912,,,
76,G4,FALSE,28-19,C,UNKNOWN,VIC,NFQ-MGB,27.249,27.210,0.055,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.938,N,N,N,N,N,0.000,,,
76,G4,FALSE,28-19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,87.775,,,
